A001	CONFOUNDED	1	2	GRAIN_FOOTING_PROBE is still 8 (src/sim/load.rs:725) and the entry attributes both narrower forms' failure to the probe not reaching the bottom of hillside scree -- the rubric's shared engine channel whose resolution cannot carry the distinction, with is_some() named as strictly better once it can.
A002	LANDED	2	3	Question 2: the successor entry (Reports/dead-ends.md:1795) records the re-test at six seeds on a same-session main rebuild -- shipped size 12 median 574.5 against main's 194 -- and herb.ron:310 ships organ_cluster: 12.
A003	DEAD	2	3	Contradictory requirements proven by a two-arm sweep (no rate passes both guards) and superseded by a discriminating bit that shipped: World::enclosure selecting VAPOUR_PER_CELL_ENCLOSED/OPEN, not a rate.
A004	META	2	3	Question 1 beats everything: the rejected thing is the sweep's terrain preset, and the entry says the moss behaviour itself is correct M16 -- reviving it changes a measurement, not the engine.
A005	DEAD	2	2	Geometry, not the census: region.rs still has MIN_REGIONS 2 / MAX_REGIONS 5 / COMPOSITION_WINDOW 512 so a region is a fifth to half a screen, and the superseding Purpose::RockCountry field shipped (src/worldgen/region.rs:318).
A006	DEAD	2	3	min(mass, Hp) is the identity wherever roof-cell mass is already under the cap -- an exactly-explained inert clamp, not an unexplained null -- and the arm through torque is the binding term.
A007	COSTED	1	2	Measured paired (42,267/158,230 unsupported failures against 302/1,144) with a real benefit recorded (1,057 logs standing against 431) and a named condition that changes the arithmetic -- a material genuinely exempt from evaluation; log.ron:161 still ships breaks_into.
A008	DEAD	2	3	Rule A: delete the flood-budget measurement and redundancy-by-construction survives -- support_parent re-derives the identical argmin from stored distances -- plus PLAN.md issue #7's position-keyed determinism trap.
A009	DEAD	2	3	Structural: a constant denominated in raw summed field light is invalidated by any light-model or cluster-size change by construction, and the per-node currency (L_node = MAX_LIGHT x leaf_cluster) superseded it.
A010	RE-TESTED	2	3	Question 2: the condition (heightfield steps landing) was met, 8 was retried and still missed the bar (31 units residual against 20 allowed), and the measured 16 shipped -- the evidence is now stronger, not weaker.
A011	META	2	3	Question 1: the rejected thing is the guard scenes' size -- a harness cost decision -- so reviving it changes what a test costs, not the engine.
A012	META	2	3	A withdrawn inference with no mechanism attached: the handoff's suspicion that load concentration caused the wall=3 collapse is retired, and nothing in the engine is being rejected.
A013	META	2	2	Question 1 beats the EXPIRED reading: the rejected thing is an OS capture instrument (BitBlt/PrintWindow), and the headless route CLAUDE.md now documents runs the in-app framebuffer dump -- the workaround -- so the named artifact existing is not the condition being met.
A014	COSTED	2	2	Measured end-to-end with PIXEL_PHYSICS_BAR_TRACE (43 px over at every spacing, 2 px at the tightest, shipped form fitting by 1 px) and the entry names conditions that change the arithmetic -- a wider framebuffer, a third row, a retired widget -- which the rubric says not to bury in DEAD.
A015	DEAD	2	2	The regions handed to fracture were already one row (mass 115 torque 6555 on a 12-deep shelf), so ladder tuning is vacuous, and D1's section union is the superseding mechanism, built and measured (bodies 13/255 -> 102/1,888).
A016	RE-TESTED	2	3	Question 2: the named blocker was fixed (edge_with_room, src/sim/liquid.rs:649) and promotion was re-measured on the revert's own scene -- spread 57-68 against the CA's 128 -- so the answer is still no.
A017	META	2	3	Question 1: the rejected thing is the harness's tunnel= spacing geometry and the bore inferences drawn from it, which are retracted -- an instrument, not an engine mechanism.
A018	RE-TESTED	2	2	The mechanism the clause reserves -- a full body noticing open floor and shedding columns back to CA -- exists as edge_with_room (src/sim/liquid.rs:402/434/649), and the register's automatic-promotion entry records that re-test coming back worse than plain CA.
A019	META	2	3	Question 1: the thing rejected is a counter's reading (births_denied_no_space counts retry duration, not loss) and the inference built on it -- a withdrawn inference with no mechanism attached.
A020	DEAD	2	2	Arithmetic: a Bellman-Ford increase advances one unit per round, so suppressing the rise abandons a ~2,400-round correction the field genuinely owes (37,629 -> 80,441 wrong cells), and the bounded-range condition is on the rubric's explicitly-unmet list.
A021	LANDED	2	2	The freed-slot condition is met and taken: OrganismCell (src/sim/organism.rs:7812-7826) now stores the weighted anchor distance per cell, recomputed by plant::anchor_support, replacing the on-demand BFS this entry chose instead.
A022	META	2	3	Question 1: the rejected thing is the detonation-visibility metric itself (changed-pixel count), replaced by mean absolute RGB delta -- reviving it changes a measurement.
A023	DEAD	2	3	Informational impossibility demonstrated by measurement: under a gale the air over a puddle and over a lake read identically (2.31 -> 0.23 in ten frames), so no function of humidity separates them; the shipped shelter factor reads the never-advected moisture-source stencil instead.
A024	DEAD	2	3	A floor applied with max cannot spread by construction, so the drying front travels untouched (brake saturated at 0.77 against HUMID_STOP 2.0), and the superseding fix -- vapour written into the diffusing moisture channel via add_vapour_at -- shipped.
A025	DEAD	2	3	Same impossibility as the gale entry: advected humidity reads identically over puddle and lake, so the second factor must come from field::moisture_source_at, which is what shipped.
A026	CONFOUNDED	1	2	A neighbouring subsystem produced the failure and the named condition is unmet: field.rs clamps pressure (MAX_PRESSURE, field.rs:3136) and only the advection displacement (field.rs:3643), never velocity, so an explosion's shockwave -- not the magnitude idea -- dominated the growth term.
A027	DEAD	2	2	The first value measured below visibility (downwind preference 0.53 against a fair 0.5) and a measured replacement at 2.0 shipped -- a superseding value, not a flawed instrument.
A028	META	2	3	Question 1: the rejected thing is the hand-built stand-in scene, corrected by a generated-terrain arm -- an instrument choice, not an engine mechanism.
A029	LANDED	2	2	The named condition landed -- thicken()'s denominator fix, stem_run now walking the cross-section axis (src/sim/plant.rs:12198+) -- and tree/conifer/creeper/shrub now ship SecondaryThicken(pipe_ratio: 5.5), below the 6.0 this entry rejected.
A030	DEAD	2	3	Counterexample plus arithmetic: nearest-neighbour diffusion cannot level the shipped 100-cell column (nonzero active chunks at 3000 frames, 6-39 cell mound), and wider worlds make reach 1 worse, not better.
A031	DEAD	2	2	It ran every frame and produced nothing worth having -- 203 cells shoved with the waterline flat to the pixel, because fill_dimming draws a fifth-cell as shadow and the sweep drops it -- and the carried remainder spent in whole cells superseded it.
A032	DEAD	2	2	Arithmetic collision: 9 metamers at plastochron 4 is exactly the (0.32-0.1)/0.006 = 36-cell turgor ceiling, so the axis terminates on height as it reaches its count.
A033	DEAD	2	2	Candidates one cell apart land in the same FIELD_SCALE block and compare exactly equal, so the tie-break decides the heading -- an explained identity -- and bilinear sampling superseded it.
A034	DEAD	2	2	Immediate reclaim is a structural thrash that moves no water at all; the cooldown plus the CA sweep shipped, and the without-the-sweep test is a secondary note the rejection does not rest on.
A035	META	2	3	Question 1: the rejected thing is the harness's default scene population, and bin/lab.rs:105 opens at founders: 0, colonies: 0 -- reviving it changes measurements and their comparability, not the shipped game.
A036	META	2	3	Question 1: the rejected thing is the cave-survival metric itself, replaced by roofed_void/min_cave=
