E01	DEAD	2?	Structure: the hinge imposes a velocity computed at the instant of the cut, so the motion is drawn rather than derived, and the causal stress model supersedes it -- note the code is still live and unreverted (rigid.rs:1344 constructs it, advance calls swing_on_hinge at :2642), but the rejection is two owner play verdicts on the mechanism, not a recorded revival.
E02	DEAD	2	Named condition unmet -- GRAIN_FOOTING_PROBE is still 8 (load.rs:725) -- so both narrower forms still exclude the give-up branch that carries the whole benefit (-1,357/-1,534 against the shipped rule's -76), and the third form's byte-identity is mechanically explained by the stale stored aux.
E03	CONFOUNDED	2?	The mechanism had to read humidity, a shared atmospheric channel the gale mixes to uniform within ten frames (2.31 -> 0.23), so the channel could not carry the lake/puddle distinction; the gust retune that would reopen it has not happened (weather.rs:838-868 only raised the floor reaching sheltered cells).
E04	DEAD	3	Structure: the renderer cannot draw a fifth of a cell -- fill_dimming is still 0.65 on water (water.ron:45) and render.rs:5690 still dims by fill -- and the liquid sweep reclaims the partial, so the thin spread is invisible by construction; the carried-remainder replacement is shipped (player.rs:2519).
E05	DEAD	3	Counterexample plus arithmetic: the mean took scene=undercut to zero failures because per-cell weakness IS the spalling mechanism, and at the cut the mean equals the minimum so it cannot move its own target case (note still standing, load.rs:1662-1687).
E06	DEAD	3	Counterexample across successive steps: a split chosen by Chebyshev distance from a fixed origin never migrates, so the same cells step twice and the limb tears; superseded by the support level set now flooding to strictly greater support in try_bend_at (plant.rs:7848).
E07	DEAD	2	Arithmetic, and the null is mechanically explained rather than noisy: at ~8 cells of cover a roof cell's mass is already under the cap so min(mass,Hp) never binds, and the relief shipped on the moment arm instead (load.rs:2074); the deeper-cover re-test condition is not met.
E08	DEAD	3	Mutually exclusive requirements: the key can only be cached by changing the element type, which changes ipnsort's small-sort path and therefore the tie order among donors pinned at RESOURCE_SCALE; the reopening condition (an explicit positional tie-break) is still absent from the comparator at plant.rs:9604.
E09	META	3	The thing rejected is the census metric itself ('rock destroyed' as cave survival), replaced by roofed_void/min_cave -- reviving it would change a measurement, not the engine.
E10	DEAD	3	Arithmetic impossibility: sharpening makes the walk persistent and hence super-diffusive, so consecutive independent errors add and no exponent exists; the surviving route is the lattice-step model stem_stiffness already implements (plant.rs:145-198).
E11	LANDED	2	The entry annotates its own revival -- ablation (a) was overturned and shipped (as Seed, not u16::MAX): both landing seams now write an honest anchor and schedule a check, LandingAux::Seed being 'the shipping default' (particle.rs:499 place_landed, rigid.rs:3731), taking the oracle from 37,629 wrong cells to 186.
E12	EXPIRED	3	The author's condition ('until the organism support search anchors properly') is met and nobody re-tested: structural::organism_is_supported's hop-bounded outward BFS is gone, replaced by plant::anchor_support, a Dijkstra from the anchor set outward with no span budget and eight-connected (plant.rs:8398, organism.rs:7629, anchors at plant.rs:7409), while shed_stranded_leaves' own doc at plant.rs:11741 still asserts the old hop bound.
E13	DEAD	3	Arithmetic counterexample: a floored-mean pivot makes a turn and its inverse a non-identity, leaking a cell per pair, and the offset-shift compensation is world-neutral by construction so it only moves the leak; superseded by a pivot fixed at promotion.
E14	META	3	The rejected thing is the visibility instrument -- a changed-pixel count over grain-jittered rendering -- replaced by mean absolute RGB delta; reviving it changes a measurement, not the engine.
E15	COSTED	2	A cost rejection that rests wholly on the measured regression: a nonzero default denies diffuse_heat's early exit, which is still the live gate (fire.rs:435, default_heat_conductivity 0.0 at material.rs:1636), and it reopens only per-material through the named opt-in condition, not by tuning.
E16	DEAD	3	Arithmetic: a ratio bounds proportion rather than absolute size, so no ratio can cap height against 80 extra rows of sky; superseded by the derived turgor ceiling (plant.rs:2834).
E17	COSTED	3	Paired across four world seeds and genuinely negative on the seed budget (launch_price 1.87x per seed on a species setting 211 seeds), with a named reopening condition that is still unmet -- reproductive_share is still surplus * reproductive_allocation and surplus still income - maintenance (plant.rs:9517).
E18	DEAD	3	Contradiction: gating promotion on quiescence excludes the still-moving pour and the fed lake, which are the central cases the heightfield exists to accelerate; the one job quiescence keeps shipped as a whole-body check (liquid.rs:490, :132) and promotion is explicitly not quiescent (world.rs:5732).
E19	COSTED	2	A frame-cost rejection scoped to reads through the shared World map, which is still a hash map (fields: ChunkMap at world.rs:1602) -- but the arithmetic has moved since, because FxHash replaced SipHash for exactly these lookups (src/sim/fxhash.rs), and the 16->64 ms headline is a worst-frame wall-clock figure with no aggregate pinning it.
E20	META	3	What was rejected is the sweep method -- synapse_cost held in absolute terms while start_energy moved 10x, so every arm read 'thinks vs does not think' -- and the sweep was invalidated and restarted; reviving it changes a measurement, not the engine.
E21	DEAD	3	Structural counterexample: raw indices with no generational handle let an active site outliving its creature read a reallocated slot, guarded only by a debug_assert; superseded by the organism substrate (world.rs:1937 records creatures: Vec<CreatureState> as gone, not moved).
E22	DEAD	2	Built, rendered and rejected on sight, with a superseding structure named: every stroke must descend from one origin as a windscreen star (structural.rs:1901's reveal_joints is what crush_in_place now calls), which scattered spoke origins contradict by construction.
E23	DEAD	3	Arithmetic: pricing a divisible job per unit of progress makes the total for the job constant -- measured flat at 1.50 J through a 50 J cell at every armour value -- so it can never deter; replaced by per-attempt jaw closures.
E24	DEAD	3	Counterexample: the whole-difference transfer overshoots past equality and the per-frame alternating scan direction (still in place, update.rs:84 and :123-125) swaps it back forever, leaving chunks awake at 24,000 frames; half the difference converges in one step.
E25	RE-TESTED	2?	The condition was revisited and the rejection made stricter rather than reopened: a 24-run sweep (two beds x four biases x three seeds) found the entry's own -4.0 replacement still behaved as the rejected always-on float (55% of intake on lift, 29 of 30 deaths mid-air), and the file now ships (Bias, Fly, -9.6) (assets/species/flitter.ron:1590).
E26	META	3	The thing rejected is the test scene -- hand-built stand-ins against a generated-terrain arm -- which is a harness choice; reviving it would change a measurement, not the engine.
E27	DEAD	2	Structural plus a strictly better lever: at 150 the floor exceeds the levelling budget by construction, while HORIZONTAL_TRANSFER_REACH buys the same settling at no accuracy cost; the shipped bound is still 16 (assets/materials/water.ron:33), so the re-derive condition has not fired.
